Item,Qty,References,Manufacturer,Manufacturer Part Number,Description,Population,Notes
1,2,"U_A1 U_B1",Espressif Systems,ESP32-S3-WROOM-1-N16R8,"ESP32-S3 module, 16 MB flash, 8 MB PSRAM",Default,"Confirm module variant and that production firmware disables Wi-Fi/Bluetooth"
2,4,"U_A2 U_A3 U_B2 U_B3",Texas Instruments,SN74HCT125DR,"Quad bus buffer, tri-state, SOIC-14",Default,"5 V supply; HCT threshold accepts 3.3 V input"
3,2,"U_A4 U_B4",Texas Instruments,TPS62162DSGR,"1 A fixed-3.3 V step-down converter, WSON-8",Default,"Replace V4 AP2112; follow TI reference layout"
4,2,"L_A1 L_B1",Wurth Elektronik,74438334022,"Shielded power inductor, 2.2 uH",Default,"Re-check saturation/ripple/current with final layout and load"
5,2,"C_AIN1 C_BIN1",TDK,C2012X5R1A106M125AC,"10 uF 10 V X5R 0805 buck input capacitor",Default,"Place at buck VIN/PGND"
6,2,"C_AOUT1 C_BOUT1",Murata,GRM21BR61A226ME44L,"22 uF 10 V X5R 0805 buck output capacitor",Default,"Validate effective capacitance under DC bias"
7,2,"C_AESP1 C_BESP1",TDK,C2012X5R1A106M125AC,"10 uF 10 V X5R 0805 ESP entry bulk",Default,"Place at module 3.3 V entry"
8,4,"C_AESP2 C_BESP2 C_AHCTB C_BHCTB",TDK,C1005X5R1A105K050BC,"1 uF 10 V X5R 0402 ceramic",Default,"ESP entry and one bulk per two HCT packages"
9,6,"C_AESP3 C_BESP3 C_AH1 C_AH2 C_BH1 C_BH2",Samsung Electro-Mechanics,CL05B104KO5NNNC,"0.1 uF 16 V X7R 0402 ceramic",Default,"One per ESP entry and one per HCT package"
10,1,C_5V_ENTRY,Murata,GRM32ER61A476KE20L,"47 uF 10 V X5R 1210 logic-input bulk",Default,"Confirm Pi inrush allowance and effective capacitance"
11,8,"R_ASCLK R_AMOSI R_ACS R_AMISO R_BSCLK R_BMOSI R_BCS R_BMISO",Panasonic,ERJ-2RKF33R0X,"33 ohm 0402 SPI source damping",Default,"Options: 0/22/47 ohm; place at actual driver"
12,2,"R_ACS_PU R_BCS_PU",Yageo,RC0402FR-0710KL,"10 kohm 0402 CS pull-up",Default,"Near ESP, after series resistor"
13,2,"R_AEN R_BEN",Yageo,RC0402FR-0710KL,"10 kohm 0402 EN pull-up",Default,"Espressif starting network"
14,2,"C_AEN C_BEN",TDK,C1005X5R1A105K050BC,"1 uF 10 V X5R 0402 EN capacitor",Default,"Replace V4 0.1 uF; validate reset timing"
15,2,"Q_AOE Q_BOE",Nexperia,"2N7002,215","N-channel MOSFET for active-low HCT OE",Default,"Drain to common OE; source ground; gate driven by ESP GPIO8"
16,2,"R_AOE_PU R_BOE_PU",Yageo,RC0402FR-0710KL,"10 kohm 0402 OE pull-up to 5 V",Default,"Buffers disabled through power-up and ESP reset"
17,2,"R_AGATE_PD R_BGATE_PD",Panasonic,ERJ-2RKF1003X,"100 kohm 0402 OE-gate pull-down",Default,"Keeps 2N7002 off until firmware asserts GPIO8"
18,16,"R_A_GPIO*_PD R_B_GPIO*_PD",Panasonic,ERJ-2RKF1003X,"100 kohm 0402 HCT input pull-down",Default,"One at each HCT data input; prevents floating inputs during reset"
19,16,R_LED1-R_LED16,Panasonic,ERJ-2RKF68R0X,"68 ohm 0402 LED output source damping",Default,"Options: 0/33/47/100 ohm; finalize from cable measurements"
20,4,"U_ESD_LED1-U_ESD_LED4",Texas Instruments,TPD4E05U06DQAR,"Four-channel 5.5 V low-capacitance ESD array",Default,"May be DNP only for inaccessible internal cables"
21,2,"U_USBESD_A U_USBESD_B",Texas Instruments,TPD2EUSB30DRTR,"Two-channel low-capacitance USB ESD array",Default,"Place immediately at each USB connector"
22,4,"R_AUSB_DP R_AUSB_DM R_BUSB_DP R_BUSB_DM",Panasonic,ERJ-2GEJ220X,"22 ohm 0402 USB series tuning resistor",Default,"Options: 0/33 ohm; place near ESP"
23,4,"C_AUSB_DP C_AUSB_DM C_BUSB_DP C_BUSB_DM",Not applicable,DNP,"0402 USB shunt tuning capacitor footprint",DNP,"Populate only after measured signal-integrity/EMI review"
24,2,"J_USBA J_USBB",GCT,USB4105-GF-A,"USB Type-C receptacle, USB 2.0",Candidate,"Mechanical release blocker; may be replaced by reviewed breakout interface"
25,4,"R_ACC1 R_ACC2 R_BCC1 R_BCC2",Yageo,RC0402FR-075K1L,"5.1 kohm 0402 USB-C CC pull-down",Candidate,"Populate for direct device receptacles only"
26,1,CN1,3M,30334-6002HB,"34-position 2.54 mm four-wall header",Candidate,"Mating cable/keying/clearance must be approved before layout"
27,1,J1,Samtec,ESQ-120-23-T-D,"2x20 2.54 mm elevated socket strip",Candidate,"Verify Pi/HAT stack height and mating length"
28,22,"TP_A_* TP_B_*",Keystone Electronics,5015,"Surface-mount miniature test point",Candidate,"Eight signals, eight nearby grounds, six local rail/reference points"
